Screen Name,Real Name,Tweets,Followers,Following,Favorites Count
katyperry,KATY PERRY,9210,109503854,216,6201
justinbieber,Justin Bieber,30595,106441752,312257,3424
BarackObama,Barack Obama,15515,102824194,621890,11
Taylorswift13,Taylor Swift,99,85560193,0,453
rihanna,Rihanna,10129,88450178,1110,1020
youtube,YouTube,22529,72262127,1027,2215
theellenshow,Ellen DeGeneres,16833,78000314,35804,933
ladygaga,Lady Gaga,8753,78741811,127315,1915
twitter,Twitter,6760,62824654,145,5544
jtimberlake,Justin Timberlake,3961,66023049,280,176
britneyspears,Britney Spears,5459,58067035,386591,2558
cristiano,Cristiano Ronaldo,3187,73406343,98,0
kimkardashian,Kim Kardashian West,27032,60055441,130,4
selenagomez,Selena Gomez,4363,56754320,1236,171
cnnbrk,CNN Breaking News,61608,54997176,121,19
jimmyfallon,jimmy fallon,10863,51171884,8115,144
arianagrande,Ariana Grande,40654,57403856,63903,32774
shakira,Shakira,5391,51963431,208,1240
ddlovato,Demi Lovato,16972,57044546,539,2084
jlo,Jennifer Lopez,12572,45342117,1712,6632
instagram,Instagram,11739,38921154,4,193
oprah,Oprah Winfrey,12444,42577042,292,152
drake,Drizzy,1704,37360695,632,10
kingjames,LeBron James,5821,41690330,181,121
nytimes,The New York Times,321890,42128438,880,16939
billgates,Bill Gates,2705,46143532,186,45
cnn,CNN,186192,40473173,1115,1463
kevinhart4real,Kevin Hart,36843,35245148,555,87
mileycyrus,Miley Ray Cyrus,9394,41144184,392,288
onedirection,One Direction,9884,31601701,3845,297
sportscenter,SportsCenter,103337,35747170,1664,1134
espn,ESPN,95818,34208035,237,112
bbcbreaking,BBC Breaking News,34476,38264592,3,0
harry_styles,Harry Styles.,5455,32646334,2035,87
pink,P!nk,7010,33115228,453,499
liltunechi,Lil Wayne WEEZY F,1857,34382066,48,13
wizkhalifa,Wiz Khalifa,43999,33917802,834,55
niallofficial,Niall Horan,12683,40194979,6056,400
brunomars,Bruno Mars,4314,42900908,108,264
adele,Adele,304,28928844,0,0
narendramodi,Narendra Modi,19434,42829231,1941,0
neymarjr,Neymar Jr,41096,39828151,747,814
kanyewest,KANYE WEST,404,28346503,3,2
kaka,Kaka,4955,30287892,355,96
actuallynph,Neil Patrick Harris,2891,27659004,128,196
realdonaldtrump,Donald J. Trump,37710,52375789,46,25
danieltosh,daniel tosh,13794,27278748,132,2
srbachchan,Amitabh Bachchan,62421,34549733,1849,63
aliciakeys,Alicia Keys,7669,30954930,701,412
nba,NBA,200824,27784341,1664,311
