Screen Name,Real Name,Tweets,Followers,Following,Favorites Count
katyperry,KATY PERRY,9210,109503892,216,6201
justinbieber,Justin Bieber,30595,106441621,312257,3424
BarackObama,Barack Obama,15515,102824050,621890,11
Taylorswift13,Taylor Swift,99,85560119,0,453
rihanna,Rihanna,10129,88450502,1110,1020
youtube,YouTube,22529,72262082,1027,2215
theellenshow,Ellen DeGeneres,16833,78000245,35804,933
ladygaga,Lady Gaga,8753,78741708,127315,1915
twitter,Twitter,6760,62824610,145,5544
jtimberlake,Justin Timberlake,3961,66023083,280,176
britneyspears,Britney Spears,5459,58066961,386591,2558
cristiano,Cristiano Ronaldo,3187,73406169,98,0
kimkardashian,Kim Kardashian West,27032,60055391,130,4
selenagomez,Selena Gomez,4363,56754221,1236,171
cnnbrk,CNN Breaking News,61608,54997142,121,19
jimmyfallon,jimmy fallon,10863,51171850,8115,144
arianagrande,Ariana Grande,40654,57403732,63903,32774
shakira,Shakira,5391,51963392,208,1240
ddlovato,Demi Lovato,16972,57044439,539,2084
jlo,Jennifer Lopez,12572,45342113,1712,6632
instagram,Instagram,11739,38921153,4,193
oprah,Oprah Winfrey,12444,42577010,292,152
drake,Drizzy,1704,37360646,632,10
kingjames,LeBron James,5821,41690260,181,121
nytimes,The New York Times,321890,42128393,880,16939
billgates,Bill Gates,2705,46143477,186,45
cnn,CNN,186191,40473130,1115,1463
kevinhart4real,Kevin Hart,36843,35245139,555,87
mileycyrus,Miley Ray Cyrus,9394,41144104,392,288
onedirection,One Direction,9884,31601701,3845,297
sportscenter,SportsCenter,103337,35747149,1664,1134
espn,ESPN,95818,34208026,237,112
bbcbreaking,BBC Breaking News,34476,38264552,3,0
harry_styles,Harry Styles.,5455,32646252,2035,87
pink,P!nk,7010,33115201,453,499
liltunechi,Lil Wayne WEEZY F,1857,34382037,48,13
wizkhalifa,Wiz Khalifa,43999,33917770,834,55
niallofficial,Niall Horan,12683,40194940,6057,400
brunomars,Bruno Mars,4314,42900849,108,264
adele,Adele,304,28928836,0,0
narendramodi,Narendra Modi,19434,42829072,1941,0
neymarjr,Neymar Jr,41096,39828052,747,814
kanyewest,KANYE WEST,404,28346445,3,2
kaka,Kaka,4955,30287877,355,96
actuallynph,Neil Patrick Harris,2891,27658995,128,196
realdonaldtrump,Donald J. Trump,37710,52375586,46,25
danieltosh,daniel tosh,13794,27278747,132,2
srbachchan,Amitabh Bachchan,62421,34549660,1849,63
aliciakeys,Alicia Keys,7669,30954914,701,412
nba,NBA,200823,27784293,1664,311
